COD_MUNICIPIO,NOME_MUNICIPIO,MEDIA_SOMA_NOTA_CH,MEDIA_SOMA_NOTA_CN,MEDIA_SOMA_NOTA_LC,MEDIA_SOMA_NOTA_MT,MEDIA_SOMA_INSE_VALOR_ABSOLUTO
1100015,Alta Floresta D'Oeste,489.95,464.95,502.67,498.91,4.68
1100023,Ariquemes,491.67,462.62,508.97,508.61,4.71
1100031,Cabixi,465.71,439.29,468.57,463.3,4.8
1100049,Cacoal,491.42,468.98,506.97,518.92,4.74
1100056,Cerejeiras,474.88,460.27,493.05,486.63,4.87
1100064,Colorado do Oeste,493.63,469.45,502.36,526.0,4.91
1100072,Corumbiara,470.49,445.22,459.98,465.31,4.56
1100080,Costa Marques,454.73,427.5,471.7,477.98,4.73
1100098,Espigão D'Oeste,488.19,460.41,492.33,501.04,4.67
1100106,Guajará-Mirim,475.51,447.88,489.83,480.78,4.65
1100114,Jaru,473.71,445.46,493.33,480.05,4.63
1100122,Ji-Paraná,488.9,466.28,507.15,513.31,4.77
1100130,Machadinho D'Oeste,485.37,469.85,497.59,500.15,4.48
1100148,Nova Brasilândia D'Oeste,487.02,450.64,494.98,503.56,4.54
1100155,Ouro Preto do Oeste,484.21,449.19,497.4,488.34,4.72
1100189,Pimenta Bueno,472.38,455.11,491.58,490.7,4.82
1100205,Porto Velho,490.28,459.76,507.61,504.04,4.79
1100254,Presidente Médici,470.35,450.17,486.72,487.77,4.65
1100262,Rio Crespo,480.75,447.09,490.98,485.75,4.78
1100288,Rolim de Moura,490.56,468.34,505.21,511.6,4.8
1100296,Santa Luzia D'Oeste,497.0,453.21,506.17,478.33,4.7
1100304,Vilhena,494.13,466.87,513.05,518.5,4.92
1100320,São Miguel do Guaporé,480.1,461.3,490.57,492.38,4.53
1100338,Nova Mamoré,458.85,421.88,468.7,469.06,4.65
1100346,Alvorada D'Oeste,478.74,443.59,495.21,479.7,4.64
1100379,Alto Alegre dos Parecis,475.42,433.76,493.02,461.55,4.5
1100403,Alto Paraíso,459.5,426.3,484.53,480.06,4.52
1100452,Buritis,469.43,445.44,488.07,470.54,4.62
1100502,Novo Horizonte do Oeste,466.35,474.67,498.95,503.97,4.65
1100601,Cacaulândia,492.95,477.78,494.04,480.77,4.65
1100700,Campo Novo de Rondônia,468.4,456.34,483.78,477.23,4.66
1100809,Candeias do Jamari,452.64,439.46,483.93,480.49,4.61
1100908,Castanheiras,469.39,422.54,488.41,470.69,4.47
1100924,Chupinguaia,457.87,421.95,477.0,441.61,4.64
1100940,Cujubim,461.56,437.33,484.64,468.25,4.49
1101005,Governador Jorge Teixeira,460.86,430.66,473.57,471.71,4.51
1101104,Itapuã do Oeste,458.6,425.27,475.55,471.51,4.43
1101203,Ministro Andreazza,462.33,450.91,479.44,495.21,4.62
1101302,Mirante da Serra,464.13,454.42,483.25,494.61,4.54
1101401,Monte Negro,501.96,431.24,512.64,478.02,4.65
1101435,Nova União,493.36,447.8,515.5,491.72,4.64
1101450,Parecis,487.52,458.5,481.22,504.31,4.73
1101468,Pimenteiras do Oeste,441.64,435.36,465.8,485.51,4.7
1101476,Primavera de Rondônia,474.73,466.46,492.53,460.74,4.76
1101484,São Felipe D'Oeste,469.44,454.29,489.04,487.51,4.71
