COD_MUNICIPIO,NOME_MUNICIPIO,MEDIA_SOMA_NOTA_CH,MEDIA_SOMA_NOTA_CN,MEDIA_SOMA_NOTA_LC,MEDIA_SOMA_NOTA_MT,MEDIA_SOMA_INSE_VALOR_ABSOLUTO
1100015,Alta Floresta D'Oeste,526.2,493.5,550.7,609.6,4.68
1100023,Ariquemes,556.11,494.32,565.14,558.7,4.71
1100049,Cacoal,541.48,502.74,545.65,578.64,4.74
1100098,Espigão D'Oeste,560.52,515.45,555.78,635.35,4.67
1100106,Guajará-Mirim,527.17,487.23,521.0,509.07,4.65
1100114,Jaru,406.4,417.07,483.73,496.33,4.63
1100122,Ji-Paraná,561.47,539.07,562.91,595.24,4.77
1100155,Ouro Preto do Oeste,543.83,480.8,536.77,564.17,4.72
1100189,Pimenta Bueno,485.8,567.4,484.4,636.4,4.82
1100205,Porto Velho,568.19,537.31,564.46,608.13,4.79
1100254,Presidente Médici,557.0,414.9,529.1,511.3,4.65
1100288,Rolim de Moura,524.9,491.78,518.75,569.13,4.8
1100304,Vilhena,549.79,513.79,551.3,613.66,4.92
1100700,Campo Novo de Rondônia,481.1,501.0,481.9,430.1,4.66
1100924,Chupinguaia,398.5,382.9,460.3,400.7,4.64
1101203,Ministro Andreazza,440.5,534.8,512.2,560.5,4.62
1101302,Mirante da Serra,605.9,639.5,640.7,697.5,4.54
1200013,Acrelândia,,,,,4.49
1200104,Brasiléia,427.2,,532.7,,4.53
1200203,Cruzeiro do Sul,529.37,500.64,537.99,554.32,4.23
1200302,Feijó,476.2,446.3,354.8,415.8,4.02
1200401,Rio Branco,566.98,535.58,560.8,597.48,4.61
1200427,Rodrigues Alves,391.4,459.7,424.4,457.5,4.01
1200450,Senador Guiomard,513.5,477.6,502.3,648.0,4.37
1200500,Sena Madureira,451.8,410.3,534.9,550.5,4.31
1200609,Tarauacá,509.0,473.15,513.8,391.8,4.12
1200708,Xapuri,413.3,417.1,398.7,435.6,4.28
